iter	Passed	Remaining
415	7760	10894
416	7782	10880
417	7801	10862
418	7819	10842
419	7837	10823
420	7856	10804
421	7874	10786
422	7894	10768
423	7912	10748
424	7930	10729
425	7949	10710
426	7967	10691
427	7985	10671
428	8002	10651
429	8023	10635
430	8041	10616
431	8060	10597
432	8079	10579
433	8099	10563
434	8117	10543
435	8135	10523
436	8153	10504
437	8170	10484
438	8188	10464
439	8206	10444
440	8224	10425
441	8242	10405
442	8260	10385
443	8280	10368
444	8299	10350
445	8316	10330
446	8334	10311
447	8352	10292
448	8372	10274
449	8390	10254
450	8408	10235
451	8426	10215
452	8443	10196
453	8461	10176
454	8479	10156
455	8497	10137
456	8515	10118
457	8533	10098
458	8551	10079
459	8570	10061
460	8589	10042
461	8608	10024
462	8626	10005
463	8645	9987
464	8664	9968
465	8683	9950
466	8701	9931
467	8720	9913
468	8739	9895
469	8759	9877
470	8777	9858
471	8796	9839
472	8814	9821
473	8833	9802
474	8851	9783
475	8869	9763
476	8887	9744
477	8906	9725
478	8924	9706
479	8941	9686
480	8959	9667
481	8977	9648
482	8995	9628
483	9013	9609
484	9031	9590
485	9050	9572
486	9068	9552
487	9086	9533
488	9104	9513
489	9122	9494
490	9140	9475
491	9159	9457
492	9176	9437
493	9195	9419
494	9214	9400
495	9232	9381
496	9252	9364
497	9274	9349
498	9294	9331
499	9312	9312
500	9330	9292
501	9348	9273
502	9367	9255
503	9384	9236
504	9403	9217
505	9421	9197
506	9439	9178
507	9456	9158
508	9478	9143
509	9496	9124
510	9515	9105
511	9532	9085
512	9550	9066
513	9570	9048
514	9589	9030
515	9608	9012
516	9627	8994
517	9659	8987
518	9680	8971
519	9700	8954
520	9719	8936
521	9739	8918
522	9759	8900
523	9779	8884
524	9801	8867
525	9825	8853
526	9846	8837
527	9866	8819
528	9885	8801
529	9904	8783
530	9923	8764
531	9942	8746
532	9962	8729
533	9981	8710
534	10000	8692
535	10030	8683
536	10050	8665
537	10071	8648
538	10090	8630
539	10114	8615
540	10136	8600
541	10187	8608
542	10208	8591
543	10229	8574
544	10249	8556
545	10271	8540
546	10295	8525
547	10317	8509
548	10337	8492
549	10357	8474
550	10379	8458
551	10400	8440
552	10420	8422
553	10440	8404
554	10462	8388
555	10484	8372
556	10505	8355
557	10525	8337
558	10546	8319
559	10566	8302
560	10586	8284
561	10606	8266
562	10626	8248
563	10647	8230
564	10666	8212
565	10686	8194
566	10706	8176
567	10726	8158
568	10747	8140
569	10766	8121
570	10786	8104
571	10807	8086
572	10827	8068
573	10848	8051
574	10868	8033
575	10888	8015
576	10908	7997
577	10928	7979
578	10948	7960
579	10966	7941
580	10985	7922
581	11004	7903
582	11024	7885
583	11042	7866
584	11062	7847
585	11081	7828
586	11100	7809
587	11118	7790
588	11150	7780
589	11173	7764
590	11192	7745
591	11211	7727
592	11230	7707
593	11250	7689
594	11272	7672
595	11292	7654
596	11310	7635
597	11330	7616
598	11349	7598
599	11368	7578
600	11386	7559
601	11405	7540
602	11425	7521
603	11444	7503
604	11463	7484
605	11482	7465
606	11501	7446
607	11520	7427
608	11539	7409
609	11558	7389
610	11578	7371
611	11597	7352
612	11616	7333
613	11635	7314
614	11654	7295
615	11673	7276
616	11691	7257
617	11709	7238
618	11729	7219
619	11747	7199
620	11765	7180
621	11783	7160
622	11800	7141
623	11820	7122
624	11836	7101
625	11854	7082
626	11872	7062
627	11903	7051
628	11945	7045
629	11972	7031
630	12004	7020
631	12031	7005
632	12055	6989
633	12078	6972
634	12099	6954
635	12120	6936
636	12139	6917
637	12171	6906
638	12191	6887
639	12211	6869
640	12231	6850
641	12252	6832
642	12271	6813
643	12298	6798
644	12318	6780
645	12338	6761
646	12358	6742
647	12379	6724
648	12400	6706
649	12420	6687
650	12440	6669
651	12459	6650
652	12479	6631
653	12498	6612
654	12518	6593
655	12538	6575
656	12557	6556
657	12576	6536
658	12595	6517
659	12614	6498
660	12632	6478
661	12651	6459
662	12671	6440
663	12691	6421
664	12709	6402
665	12725	6381
666	12744	6362
667	12763	6343
668	12782	6324
669	12801	6305
670	12821	6286
671	12840	6267
672	12858	6247
673	12877	6228
674	12903	6212
675	12930	6197
676	12960	6183
677	13008	6178
678	13042	6165
679	13078	6154
680	13101	6137
681	13131	6123
682	13169	6112
683	13228	6111
684	13255	6095
685	13281	6079
686	13310	6064
687	13335	6047
688	13358	6029
689	13384	6013
690	13412	5997
691	13439	5981
692	13460	5963
693	13506	5955
694	13536	5940
695	13564	5924
696	13590	5908
697	13613	5889
698	13636	5872
699	13662	5855
700	13699	5843
701	13725	5826
702	13757	5812
703	13787	5796
704	13810	5778
705	13834	5761
706	13861	5744
707	13888	5727
708	13913	5710
709	13936	5692
710	13957	5673
711	13977	5653
712	14001	5636
713	14023	5617
714	14053	5601
715	14080	5585
716	14104	5567
717	14122	5546
718	14141	5526
719	14162	5507
720	14180	5487
721	14198	5467
722	14216	5446
723	14234	5426
724	14252	5406
725	14271	5386
726	14294	5367
727	14322	5351
728	14340	5330
729	14358	5310
730	14375	5290
731	14394	5270
732	14412	5249
733	14430	5229
734	14448	5209
735	14467	5189
736	14485	5169
737	14504	5149
738	14531	5132
739	14550	5112
740	14568	5092
741	14586	5072
742	14605	5051
743	14623	5031
744	14642	5011
745	14660	4991
746	14678	4971
747	14697	4951
748	14715	4931
749	14734	4911
750	14752	4891
751	14771	4871
752	14789	4851
753	14808	4831
754	14826	4811
755	14844	4790
756	14862	4770
757	14880	4750
758	14898	4730
759	14917	4710
760	14935	4690
761	14954	4670
762	14972	4650
763	14989	4630
764	15007	4610
765	15025	4590
766	15044	4570
767	15065	4551
768	15085	4531
769	15103	4511
770	15121	4491
771	15139	4471
772	15158	4451
773	15176	4431
774	15194	4411
775	15213	4391
776	15232	4371
777	15251	4352
778	15278	4334
779	15307	4317
780	15328	4298
781	15346	4278
782	15365	4258
783	15383	4238
784	15402	4218
785	15420	4198
786	15438	4178
787	15457	4158
788	15475	4138
789	15494	4118
790	15512	4098
791	15530	4078
792	15548	4058
793	15566	4038
794	15589	4020
795	15610	4000
796	15630	3981
797	15653	3962
798	15676	3943
799	15700	3925
800	15720	3905
801	15740	3886
802	15760	3866
803	15781	3847
804	15801	3827
805	15824	3808
806	15844	3789
807	15862	3769
808	15881	3749
809	15899	3729
810	15917	3709
811	15935	3689
812	15957	3670
813	15979	3651
814	15999	3631
815	16022	3612
816	16044	3593
817	16068	3575
818	16090	3556
819	16117	3537
820	16142	3519
821	16165	3500
822	16184	3480
823	16205	3461
824	16223	3441
825	16241	3421
826	16260	3401
827	16282	3382
828	16304	3363
829	16322	3343
830	16340	3323
831	16359	3303
832	16381	3284
833	16399	3264
834	16418	3244
835	16437	3224
836	16455	3204
837	16474	3184
838	16492	3164
839	16510	3144
840	16529	3125
841	16549	3105
842	16568	3085
843	16587	3065
844	16605	3045
845	16624	3026
846	16642	3006
847	16660	2986
848	16679	2966
849	16698	2946
850	16716	2926
851	16734	2906
852	16752	2887
853	16772	2867
854	16790	2847
855	16809	2827
856	16828	2807
857	16845	2788
858	16863	2768
859	16882	2748
860	16901	2728
861	16919	2708
862	16938	2688
863	16955	2668
864	16974	2649
865	16992	2629
866	17010	2609
867	17028	2589
868	17046	2569
869	17065	2550
870	17083	2530
871	17102	2510
872	17121	2490
873	17138	2470
874	17157	2451
875	17175	2431
876	17194	2411
877	17212	2391
878	17231	2371
879	17249	2352
880	17271	2332
881	17291	2313
882	17309	2293
883	17327	2273
884	17346	2254
885	17364	2234
886	17383	2214
887	17401	2194
888	17420	2175
889	17438	2155
890	17456	2135
891	17474	2115
892	17492	2095
893	17510	2076
894	17529	2056
895	17547	2036
896	17566	2017
897	17585	1997
898	17604	1977
899	17622	1958
900	17640	1938
901	17658	1918
902	17681	1899
903	17704	1880
904	17725	1860
905	17743	1840
906	17762	1821
907	17780	1801
908	17802	1782
909	17828	1763
910	17848	1743
911	17867	1724
912	17887	1704
913	17910	1685
914	17931	1665
915	17952	1646
916	17973	1626
917	17996	1607
918	18016	1587
919	18034	1568
920	18052	1548
921	18071	1528
922	18089	1509
923	18108	1489
924	18126	1469
925	18144	1450
926	18163	1430
927	18181	1410
928	18199	1390
929	18217	1371
930	18235	1351
931	18254	1331
932	18278	1312
933	18296	1292
934	18315	1273
935	18334	1253
936	18352	1233
937	18372	1214
938	18390	1194
939	18409	1175
940	18428	1155
941	18446	1135
942	18465	1116
943	18484	1096
944	18503	1076
945	18522	1057
946	18540	1037
947	18558	1017
948	18576	998
949	18595	978
950	18613	959
951	18631	939
952	18649	919
953	18667	900
954	18685	880
955	18704	860
956	18722	841
957	18741	821
958	18760	802
959	18779	782
960	18797	762
961	18815	743
962	18834	723
963	18852	704
964	18870	684
965	18889	664
966	18907	645
967	18926	625
968	18944	606
969	18963	586
970	18981	566
971	19000	547
972	19018	527
973	19037	508
974	19055	488
975	19082	469
976	19100	449
977	19119	430
978	19137	410
979	19156	390
980	19175	371
981	19194	351
982	19212	332
983	19230	312
984	19250	293
985	19270	273
986	19288	254
987	19306	234
988	19325	214
989	19344	195
990	19362	175
991	19380	156
992	19399	136
993	19417	117
994	19436	97
995	19454	78
996	19472	58
997	19491	39
998	19509	19
999	19528	0
