iter	Logloss
0	0.6871421894
1	0.6730181264
2	0.6588713389
3	0.6513343143
4	0.6462758397
5	0.634009682
6	0.6296457818
7	0.6192450721
8	0.6153144489
9	0.6031928113
10	0.5996732523
11	0.5963005601
12	0.5930687194
13	0.5836847198
14	0.5755762203
15	0.5722681254
16	0.5634069023
17	0.5609452121
18	0.5537651739
19	0.549515486
20	0.5428327054
21	0.5408281148
22	0.5346749831
23	0.5305073488
24	0.5279977719
25	0.5263589832
26	0.5200478904
27	0.5146121591
28	0.5097771159
29	0.5053115826
30	0.5040990507
31	0.4987853232
32	0.4945975976
33	0.4907989578
34	0.4872574026
35	0.4846407922
36	0.4837566922
37	0.4794358386
38	0.4783062648
39	0.4746507529
40	0.4704646536
41	0.4697930931
42	0.4691490503
43	0.4685313732
44	0.4662786814
45	0.4657139605
46	0.4651474765
47	0.4643974193
48	0.4615465756
49	0.4586398096
50	0.455070217
51	0.4523067697
52	0.4486000783
53	0.4467303701
54	0.4441276827
55	0.4432913154
56	0.4398191217
57	0.437668219
58	0.4348441293
59	0.4345659711
60	0.4320601999
61	0.4305035084
62	0.4293225941
63	0.426586929
64	0.4252008672
65	0.424577203
66	0.4242530025
67	0.4219200904
68	0.4199350275
69	0.4176265281
70	0.4150496511
71	0.4137395217
72	0.4130970468
73	0.4116098201
74	0.4096187155
75	0.4079542613
76	0.4067839643
77	0.4054831225
78	0.4046956872
79	0.40380943
80	0.4032798035
81	0.4012827509
82	0.399531317
83	0.3992612337
84	0.3986162065
85	0.3982066416
86	0.396725708
87	0.3963892599
88	0.3963381673
89	0.3942959523
90	0.3930361126
91	0.3929879863
92	0.3929144089
93	0.3911299907
94	0.3910868298
95	0.390881325
96	0.3900465755
97	0.3895762305
98	0.3895448317
99	0.3894422659
100	0.3893975014
101	0.3888806292
102	0.3888121531
103	0.3870842554
104	0.3856924589
105	0.3848293693
106	0.3835682016
107	0.3826840795
108	0.3820827796
109	0.3810237864
110	0.3804267258
111	0.3791746585
112	0.3777157814
113	0.3777032695
114	0.3762988138
115	0.375139659
116	0.3741624023
117	0.3735470706
118	0.3722335235
119	0.3722056681
120	0.3708788911
121	0.3693679107
122	0.3692343788
123	0.3681208579
124	0.3677389288
125	0.3666595555
126	0.3649491927
127	0.3645118299
128	0.3641997747
129	0.3635104393
130	0.3623403637
131	0.3608256551
132	0.3594191653
133	0.3586352137
134	0.3576573447
135	0.3564339885
136	0.3552193751
137	0.3545242225
138	0.3531498717
139	0.3516475495
140	0.3503177016
141	0.3497477973
142	0.3495990707
143	0.3481817901
144	0.3480169194
145	0.3475214775
146	0.3460495809
147	0.3456219461
